season,onset_time,peak_time,peak_intensity,lower_growth_rate_onset,growth_rate_onset,upper_growth_rate_onset,onset_week,peak_week,weeks_to_peak,grupo,mode
2010/2011,2010-08-22,2010-09-19,38965.22978460215,0.021305553687299993,0.1129725387640351,0.20586507927444925,33,37,4,edad_65_mas,incidence
2011/2012,2011-05-08,2011-07-17,25151.148730350666,0.002962327620085383,0.02410341692410744,0.045267062180456424,18,28,10,edad_65_mas,incidence
2012/2013,2012-02-26,2012-07-15,31218.633023707192,0.007748801670143787,0.016459902636421258,0.025171450493977666,8,28,20,edad_65_mas,incidence
2013/2014,2013-05-19,2013-07-14,27517.305566866384,0.007834639302738226,0.07265924085982206,0.13773035929191457,20,28,8,edad_65_mas,incidence
2014/2015,2014-06-22,2014-07-13,33057.34903152298,0.045823599920998506,0.10816855563552108,0.1708807727405244,25,28,3,edad_65_mas,incidence
2015/2016,2015-02-22,2015-08-23,28566.47770874075,0.030962707161257427,0.047432097796002506,0.06391387672289081,8,34,26,edad_65_mas,incidence
2016/2017,2016-02-21,2016-07-17,33120.8641494745,9.628023841179037e-4,0.021583776211659758,0.04221111394667657,7,28,21,edad_65_mas,incidence
2017/2018,2017-03-05,2017-06-11,33934.257703783565,6.0113725138838934e-5,0.02372754037449603,0.04740285905142265,9,23,14,edad_65_mas,incidence
2018/2019,2018-03-04,2018-07-15,29734.733039846484,0.02762255912886586,0.04719331095150339,0.0667818795473775,9,28,19,edad_65_mas,incidence
2019/2020,2019-03-10,2019-06-09,27828.657266075497,0.04019805699865579,0.065223503948424,0.09028605103408702,10,23,13,edad_65_mas,incidence
2020/2021,2020-03-08,2020-03-15,21682.756896928797,0.06257548856984738,0.07445587920446221,0.08634448777633623,10,11,1,edad_65_mas,incidence
2022/2023,2022-05-15,2022-10-30,22133.661424342925,0.0985617470742326,0.1073425509605345,0.11613090615889941,19,43,24,edad_65_mas,incidence
2023/2024,2023-03-19,2023-09-24,25358.40269692599,0.08967679962511203,0.11085847998303963,0.13208191368055489,11,38,27,edad_65_mas,incidence
2024/2025,2024-02-18,2024-05-19,31691.57734673441,0.02091727638858832,0.03341531134641817,0.045918913728630974,7,20,13,edad_65_mas,incidence
2025/2026,2025-03-16,2025-05-18,26376.235622989745,0.04516176171023102,0.08734722022150782,0.1296640938902936,11,20,9,edad_65_mas,incidence
