reference_time,cases,season,population,incidence,growth_rate,lower_growth_rate,upper_growth_rate,growth_warning,average_observations_window,average_observations_warning,seasonal_onset_alarm,skipped_window,converged,counter,changeFlag,groupID,significant_counter,disease_threshold,week,grupo,mode
2020-02-16,43091,2020/2021,312988,13767.620483852415,0.016144842075598093,0.0092124014268755,0.02307765916926935,TRUE,13334.246873370745,NA,NA,FALSE,TRUE,101,FALSE,424,6,13334.246873370745,2020-W07,total,incidence
2021-09-19,35982,2021/2022,298132,12069.1505775965,0.02535685455278039,0.0046309948429311375,0.04609561175165813,TRUE,11282.42705047108,NA,NA,FALSE,TRUE,131,FALSE,477,9,11282.42705047108,2021-W37,total,incidence
2022-04-24,78950,2022/2023,340237,23204.41339419287,0.04718220114387172,0.02818347124970283,0.06619526116686739,TRUE,20852.57219534472,NA,NA,FALSE,TRUE,144,FALSE,495,8,20852.57219534472,2022-W16,total,incidence
2023-04-23,139010,2023/2024,409467,33949.01176407378,0.054440672095068095,0.0243204394806376,0.08461434261448596,TRUE,29521.380720793404,NA,NA,FALSE,TRUE,163,FALSE,528,6,29521.380720793404,2023-W16,total,incidence
2024-02-18,55207,2024/2025,332660,16595.623158780738,0.02434240226385722,0.012896755638068635,0.03579095951009611,TRUE,15882.890925330008,NA,NA,FALSE,TRUE,174,FALSE,560,6,15882.890925330008,2024-W07,total,incidence
2010-05-09,38194,2010/2011,62056,61547.634394740235,0.02993503553839879,0.014542830508115457,0.045334449596994536,TRUE,56740.24972430795,NA,NA,FALSE,TRUE,1,FALSE,14,3,56740.24972430795,2010-W18,edad_menor_5,incidence
2011-03-13,30839,2011/2012,55978,55091.285862303055,0.11299554360615383,0.04840066579465241,0.1784250017230716,TRUE,47748.285979382934,NA,NA,FALSE,TRUE,5,FALSE,54,2,47748.285979382934,2011-W10,edad_menor_5,incidence
2012-04-29,36450,2012/2013,64930,56137.37871553981,0.014598769254555827,0.00784847584512258,0.02134945048150327,TRUE,54137.70569914568,NA,NA,FALSE,TRUE,13,FALSE,105,10,54137.70569914568,2012-W17,edad_menor_5,incidence
2013-03-17,41045,2013/2014,71465,57433.70880850767,0.09625099620250144,0.016394781929014966,0.17739150130818265,TRUE,49907.98004036086,NA,NA,FALSE,TRUE,23,FALSE,141,1,49907.98004036086,2013-W11,edad_menor_5,incidence
2013-05-19,48204,2013/2014,74784,64457.637997432605,0.041401681900392215,0.006196255727938053,0.07669270105366774,TRUE,58504.77889701225,NA,NA,FALSE,TRUE,24,FALSE,149,1,58504.77889701225,2013-W20,edad_menor_5,incidence
2013-06-23,43415,2013/2014,64260,67561.46903205727,0.043925499078468044,0.013333555710602777,0.07458824164992303,TRUE,61901.878610596796,NA,NA,FALSE,TRUE,25,FALSE,153,1,61901.878610596796,2013-W25,edad_menor_5,incidence
2013-08-25,42730,2013/2014,67321,63472.02210305848,0.03908007946378337,0.001032954278859112,0.0772252640626807,TRUE,61237.16421339513,NA,NA,FALSE,TRUE,26,FALSE,161,1,61237.16421339513,2013-W34,edad_menor_5,incidence
2013-12-08,33441,2013/2014,62060,53884.95004834032,0.017558578701660846,0.005973279483031462,0.029145918993639195,TRUE,52204.21526647894,NA,NA,FALSE,TRUE,27,FALSE,175,1,52204.21526647894,2013-W49,edad_menor_5,incidence
2014-03-16,34734,2014/2015,66518,52217.44490213175,0.10212477708625906,0.02218357443549134,0.1833635922876248,TRUE,45404.613302523714,NA,NA,FALSE,TRUE,28,FALSE,188,1,45404.613302523714,2014-W11,edad_menor_5,incidence
2014-06-22,56290,2014/2015,80883,69594.35233609041,0.05272812492769916,0.0015118840590532718,0.10430265884199942,TRUE,61366.07518530141,NA,NA,FALSE,TRUE,29,FALSE,201,1,61366.07518530141,2014-W25,edad_menor_5,incidence
2014-08-24,37338,2014/2015,61352,60858.65171469552,0.04369572902699181,0.013570713924715767,0.07389337462589356,TRUE,57345.80693250607,NA,NA,FALSE,TRUE,30,FALSE,209,1,57345.80693250607,2014-W34,edad_menor_5,incidence
2015-02-22,14788,2015/2016,40380,36622.09014363546,0.028522726359420363,0.017422729444830476,0.03962501604303721,TRUE,34429.50689371464,NA,NA,FALSE,TRUE,31,FALSE,234,6,34429.50689371464,2015-W08,edad_menor_5,incidence
2015-04-19,41184,2015/2016,74451,55316.919853326355,0.01844195974800609,0.004387196193101607,0.03250586971420399,TRUE,52394.184825633965,NA,NA,FALSE,TRUE,37,FALSE,236,6,52394.184825633965,2015-W16,edad_menor_5,incidence
2016-04-24,31148,2016/2017,59821,52068.67153675131,0.023371278063254976,0.014506274729600897,0.03223716363843765,TRUE,49119.19662808922,NA,NA,FALSE,TRUE,53,FALSE,273,12,49119.19662808922,2016-W16,edad_menor_5,incidence
2017-04-23,33482,2017/2018,61398,54532.72093553536,0.008701770617358252,0.001810726805274441,0.015593374180455512,TRUE,53838.36401702531,NA,NA,FALSE,TRUE,68,FALSE,310,10,53838.36401702531,2017-W16,edad_menor_5,incidence
2018-04-29,31150,2018/2019,60282,51673.799807571086,0.030022580004308394,0.026719596070912604,0.03332599803714189,TRUE,48549.835841357264,NA,NA,FALSE,TRUE,82,FALSE,349,12,48549.835841357264,2018-W17,edad_menor_5,incidence
2019-02-24,9757,2019/2020,32837,29713.433017632553,0.030568003103650408,0.010514746961799767,0.05062284158883194,TRUE,27241.629962905143,NA,NA,FALSE,TRUE,94,FALSE,380,5,27241.629962905143,2019-W08,edad_menor_5,incidence
2019-04-21,33753,2019/2020,65316,51676.465184640816,0.028020651112543926,0.01285499379769377,0.043195240020182143,TRUE,48332.40331195587,NA,NA,FALSE,TRUE,99,FALSE,383,5,48332.40331195587,2019-W16,edad_menor_5,incidence
2020-08-09,1444,2020/2021,10859,13297.725389078183,0.04522473781886473,0.00464794844511903,0.08592397198593783,TRUE,11702.857671693808,NA,NA,FALSE,TRUE,115,FALSE,435,8,11702.857671693808,2020-W32,edad_menor_5,incidence
2021-07-18,5006,2021/2022,19473,25707.38971909824,0.020569837785417697,0.0067520888751180525,0.03439715601927186,TRUE,24465.580783115325,NA,NA,FALSE,TRUE,136,FALSE,463,10,24465.580783115325,2021-W28,edad_menor_5,incidence
2022-03-13,19566,2022/2023,49880,39226.1427425822,0.14570079127484176,0.05056111152295401,0.24347608608097854,TRUE,27419.05879354729,NA,NA,FALSE,TRUE,149,FALSE,484,15,27419.05879354729,2022-W10,edad_menor_5,incidence
2023-04-30,36885,2023/2024,61863,59623.68459337568,0.05093536951915495,0.037149094860202674,0.06473451738161465,TRUE,52911.57798082009,NA,NA,FALSE,TRUE,173,FALSE,519,7,52911.57798082009,2023-W17,edad_menor_5,incidence
2024-02-18,7528,2024/2025,26879,28006.994307823952,0.012946986824546704,4.47927616539244e-4,0.025445382309935517,TRUE,27009.46759393657,NA,NA,FALSE,TRUE,182,FALSE,552,6,27009.46759393657,2024-W07,edad_menor_5,incidence
2010-07-11,18283,2010/2011,38112,47971.767422334175,0.025485834582307156,0.0078456652013927,0.04313217378285893,TRUE,44859.87179938921,NA,NA,FALSE,TRUE,2,FALSE,22,2,44859.87179938921,2010-W27,edad_5_14,incidence
2010-08-15,54930,2010/2011,88058,62379.340888959545,0.1203329595460175,0.011344698504860414,0.2335117840998589,TRUE,47232.86437447006,NA,NA,FALSE,TRUE,4,FALSE,25,2,47232.86437447006,2010-W32,edad_5_14,incidence
2011-05-08,20456,2011/2012,53456,38266.98593235558,0.028722811870580813,2.3721669773068448e-4,0.05723303260301144,TRUE,35633.894052528594,NA,NA,FALSE,TRUE,8,FALSE,59,3,35633.894052528594,2011-W18,edad_5_14,incidence
2012-05-20,27176,2012/2013,59829,45422.788279931134,0.05385892501822334,0.006909169369168522,0.10100077271210528,TRUE,38906.99762300782,NA,NA,FALSE,TRUE,16,FALSE,105,7,38906.99762300782,2012-W20,edad_5_14,incidence
2013-05-12,27241,2013/2014,64856,42002.28197853707,0.05563457844010101,0.0222860095778738,0.0890309317943077,TRUE,37468.24451454922,NA,NA,FALSE,TRUE,25,FALSE,147,2,37468.24451454922,2013-W19,edad_5_14,incidence
2014-03-16,24876,2014/2015,63882,38940.546632854326,0.12662511613985228,0.060915870082971765,0.19348547525963636,TRUE,31625.729736727742,NA,NA,FALSE,TRUE,30,FALSE,186,1,31625.729736727742,2014-W11,edad_5_14,incidence
2014-06-22,39930,2014/2015,74331,53719.17504136902,0.08518108111437463,0.036145911607974535,0.13464623096507725,TRUE,44102.10493791396,NA,NA,FALSE,TRUE,31,FALSE,199,1,44102.10493791396,2014-W25,edad_5_14,incidence
2014-08-24,24921,2014/2015,59967,41557.856821251684,0.06727577827316597,0.004464357033748927,0.1305217689092523,TRUE,37772.25358450724,NA,NA,FALSE,TRUE,32,FALSE,207,1,37772.25358450724,2014-W34,edad_5_14,incidence
2015-02-22,8460,2015/2016,34142,24778.86474137426,0.029460065788794846,0.017654632498618126,0.04126685342004959,TRUE,23818.526210915184,NA,NA,FALSE,TRUE,33,FALSE,232,5,23818.526210915184,2015-W08,edad_5_14,incidence
2016-04-24,21236,2016/2017,59187,35879.50056600267,0.03847559876854922,0.023144468889400135,0.05381077330832487,TRUE,32687.926068913792,NA,NA,FALSE,TRUE,51,FALSE,275,12,32687.926068913792,2016-W16,edad_5_14,incidence
2017-05-07,25136,2017/2018,59834,42009.55978206371,0.03809590581824465,0.003417669800755223,0.07284534334302893,TRUE,38034.7223333187,NA,NA,FALSE,TRUE,67,FALSE,313,6,38034.7223333187,2017-W18,edad_5_14,incidence
2018-02-18,7637,2018/2019,35478,21526.01612266757,0.022785521018864035,0.004235783397290573,0.04134156660099306,TRUE,20504.312484761896,NA,NA,FALSE,TRUE,74,FALSE,347,5,20504.312484761896,2018-W07,edad_5_14,incidence
2019-02-24,5959,2019/2020,31665,18818.885204484446,0.02121049412175375,0.005399789173729235,0.037018673787786165,TRUE,17892.88638422719,NA,NA,FALSE,TRUE,86,FALSE,388,5,17892.88638422719,2019-W08,edad_5_14,incidence
2019-04-28,25756,2019/2020,65430,39364.20602170258,0.08132865232278924,0.06348609463771636,0.09920026679256316,TRUE,33199.03668071704,NA,NA,FALSE,TRUE,91,FALSE,392,5,33199.03668071704,2019-W17,edad_5_14,incidence
2020-10-25,1673,2020/2021,19476,8590.059560484699,0.02418946797960823,2.591050033979996e-4,0.04815002848782982,TRUE,7965.0260238608635,NA,NA,FALSE,TRUE,109,FALSE,452,7,7965.0260238608635,2020-W43,edad_5_14,incidence
2021-09-26,4897,2021/2022,30708,15946.984499153315,0.02979388748107982,0.005979071681239568,0.053653504130466476,TRUE,15465.280325902355,NA,NA,FALSE,TRUE,131,FALSE,478,8,15465.280325902355,2021-W38,edad_5_14,incidence
2022-04-24,21710,2022/2023,64068,33885.871261784356,0.04612876691012718,0.014929490328209982,0.07736139817442282,TRUE,30346.90049877047,NA,NA,FALSE,TRUE,145,FALSE,494,7,30346.90049877047,2022-W16,edad_5_14,incidence
2023-02-19,8338,2023/2024,35202,23686.154195784333,0.04785215874240205,0.022771510209921016,0.07296182795568194,TRUE,21169.107013033776,NA,NA,FALSE,TRUE,157,FALSE,525,5,21169.107013033776,2023-W07,edad_5_14,incidence
2023-04-23,49554,2023/2024,96496,51353.423976123355,0.06567025342298194,0.035635913478584566,0.09581591064381122,TRUE,43946.93463314721,NA,NA,FALSE,TRUE,162,FALSE,529,5,43946.93463314721,2023-W16,edad_5_14,incidence
2024-02-18,7308,2024/2025,35010,20874.035989717224,0.025979617911065817,0.013641140770353355,0.03831762910040903,TRUE,20168.25543452417,NA,NA,FALSE,TRUE,171,FALSE,563,5,20168.25543452417,2024-W07,edad_5_14,incidence
2024-04-21,41955,2024/2025,87453,47974.340502898696,0.06630666088594142,0.026036659556140068,0.1067698244481821,TRUE,40911.077128753604,NA,NA,FALSE,TRUE,176,FALSE,567,5,40911.077128753604,2024-W16,edad_5_14,incidence
2010-08-22,74962,2010/2011,189274,39605.01706520705,0.14558949095936863,0.05604386404813657,0.23672690769628124,TRUE,30135.36296072648,NA,NA,FALSE,TRUE,1,FALSE,29,1,30135.36296072648,2010-W33,edad_15_64,incidence
2011-05-08,36313,2011/2012,164299,22101.77785622554,0.025001097394322522,0.009553009864944338,0.04045807040361031,TRUE,20582.993080171094,NA,NA,FALSE,TRUE,4,FALSE,63,3,20582.993080171094,2011-W18,edad_15_64,incidence
2012-05-13,41218,2012/2013,174962,23558.258364673475,0.02090330777778958,0.0028683326438342337,0.038944578834420776,TRUE,21972.7648869467,NA,NA,FALSE,TRUE,14,FALSE,106,9,21972.7648869467,2012-W19,edad_15_64,incidence
2013-05-12,48790,2013/2014,178957,27263.532580452287,0.07256075643645249,0.009620711532655507,0.13570129328813885,TRUE,22863.525331549048,NA,NA,FALSE,TRUE,25,FALSE,147,3,22863.525331549048,2013-W19,edad_15_64,incidence
2014-03-16,43632,2014/2015,197563,22085.107029150193,0.11437767659030147,0.03423886180409275,0.19528577553350276,TRUE,18612.850388532115,NA,NA,FALSE,TRUE,29,FALSE,187,1,18612.850388532115,2014-W11,edad_15_64,incidence
2014-06-22,63526,2014/2015,186270,34104.25726096526,0.09490059272454787,0.008269650972421692,0.18229484748575625,TRUE,27178.370019478367,NA,NA,FALSE,TRUE,30,FALSE,200,1,27178.370019478367,2014-W25,edad_15_64,incidence
2015-02-15,27607,2015/2016,180928,15258.555889635656,0.047334232035933455,0.01831737993447811,0.07639341152679335,TRUE,13405.506009625116,NA,NA,FALSE,TRUE,31,FALSE,233,6,13405.506009625116,2015-W07,edad_15_64,incidence
2016-05-08,42800,2016/2017,181649,23561.924370626868,0.018078523053394982,0.0012909650344293516,0.03487218501560978,TRUE,22471.616508305004,NA,NA,FALSE,TRUE,53,FALSE,275,11,22471.616508305004,2016-W18,edad_15_64,incidence
2017-05-14,49841,2017/2018,182296,27340.698643963664,0.07030078050654438,0.0486923617138175,0.09193322274595313,TRUE,23065.013388902167,NA,NA,FALSE,TRUE,68,FALSE,313,5,23065.013388902167,2017-W19,edad_15_64,incidence
