season,onset_time,peak_time,peak_intensity,lower_growth_rate_onset,growth_rate_onset,upper_growth_rate_onset,onset_week,peak_week,weeks_to_peak,grupo,mode
2014/2015,2014-06-08,2014-07-13,13056,0.0015842588096969747,0.04004461091692087,0.07855660110180052,23,28,5,edad_65_mas,cases
2015/2016,2015-03-29,2015-09-20,11777,0.044722623693684724,0.07152086575818536,0.09836376789187995,13,38,25,edad_65_mas,cases
2016/2017,2016-04-03,2016-07-17,13614,0.017472207349987036,0.07594824710860096,0.13465047198053712,13,28,15,edad_65_mas,cases
2017/2018,2017-04-02,2017-06-25,14479,0.048595364708124165,0.09738535616863102,0.14637677461232787,13,25,12,edad_65_mas,cases
2018/2019,2018-03-25,2018-08-12,13221,0.10848467445220479,0.13609308981609,0.1637910042518129,12,32,20,edad_65_mas,cases
2019/2020,2019-03-24,2019-09-15,13214,0.12151383079037605,0.14604838982643345,0.17065864129240765,12,37,25,edad_65_mas,cases
2022/2023,2022-06-05,2022-10-30,12413,0.07574060465503721,0.10439031292224649,0.1331142893942418,22,43,21,edad_65_mas,cases
2023/2024,2023-03-19,2023-09-24,14593,0.0879578941298501,0.11058988673505606,0.13327091084972578,11,38,27,edad_65_mas,cases
2024/2025,2024-02-11,2024-05-19,17090,0.004507425194651243,0.026322962418770204,0.048149418960444806,6,20,14,edad_65_mas,cases
2025/2026,2025-02-23,2025-09-21,15966,0.009740139924552423,0.0344969935738821,0.059272271550878816,8,38,30,edad_65_mas,cases
